Objetivo Geral,Objetivo específico,,Conhecimento principal da questão,Questão,Alternativa correta,Alternativa errada 1,Alternativa errada 2,Alternativa errada 3,Conhecimento secundário da questão
,,B - Conexão de implantes,a - Hexágono interno,"Os implantes dentários apresenta três conexões protéticas: hexágono externo, hexágono interno e Cone Morse. Assinale a alternativa correta.","Nos casos clínicos que envolvam reabilitações em estágio único e carga imediata, a melhor opção são os implantes dentários com conexão hexágono interno.","O implante dentário com conexão hexágono externo apresenta menor incidência de afrouxamento do parafuso de retenção, principalmente quando selecionado em casos clínicos que envolvam prótese implantossuportada unitária.","Devido a fácil reversibilidade dos implantes dentários com hexágono externo, são indicados para reabilitar regiões estéticas.","Os implantes dentários Cone Morse devem ser selecionados em casos clínicos em que a reabilitação será em dois estágios, devido à melhora estabilidade mecânica do pilar, minimizando afrouxamento e fratura do parafuso de retenção.",Secundário: Objetivo Geral 2; Objetivo específico 4; B. Conexões de implantes; c.) Cone Morse. Terciário:  Objetivo Geral 2; Objetivo específico 4; B. Conexões de implantes; b.) Hexágono externo.
,,,b - Hexágono externo,"Em relação aos implantes com hexágono externo, assinale a alternativa incorreta.",Incompatibilidade com diversos fabricantes,"Há maior acúmulo de bactéria na interface prótese-implante, devido ao processo de saucerização.",Tem baixa previsibilidade,Menor custo-benefício em todos os planejamentos,não se aplica
,,,c - Cone Morse,Assinale a alternativa correta sobre plataforma switching.,Promove a manutenção do osso cervical e a espessura de tecido mole.,O perfil de emergência permanece vulnerável.,Não há evidência científica suficiente sobre as suas propriedades.,Indicado para regiões com espaço protético curtos.,não se aplica
,,C - Texturização de superfície,a - Importância,"Branemark descreveu a osseointegração como “o contato direto entre osso vivo e uma superfície de implante sob cargas funcionais sem interposição de tecido mole ao nível da microscopia óptica”. Diante dessa afirmação, assinale a alternativa incorreta.",A texturização por jateamento não limita a proliferação de tecido mole e não potencializa a formação óssea.,A texturização de superfície do implante tem o objetivo de maximizar e acelerar a osseointegração.,"Microscopicamente, as superfícies usinadas apresentam ranhuras e sulcos produzidos durante a usinagem, podendo observar uma osteogênese a distância.",A texturização da superfície do implante tem uma desvantagem: aumenta a retenção de placa bacteriana quando acima do nível ósseo.,não se aplica
,,,b - Característica de texturização,"A texturização da superfície de implantes dentários com revestimento de hidroxiapatita tem apresentado melhores resultados na resistência da interface hidroxiapatita-osso em comparação ao titânio no osso. Em relação ao revestimento de hidroxiapatita, assinale a alternativa correta.",Cicatrização da interface óssea mais rápida,Maior corrosão de metais,Minimiza a retenção de biofilme,Esfoliação após a instalação do implante,Secundário: Objetivo Geral 2; Objetivo específico 4; C. Texturização de superfície; e.) Forma de texturização. Terciário: Objetivo Geral 2; Objetivo específico 4; C. Texturização de superfície; c.) Métodos de texturização
,,,c - Métodos de texturização,"Em relação à pulverização com plasma de titânio, assinale a alternativa correta.",Esse procedimento promove o desprendimento de titânio após a instalação do implante.,"Não aumenta a área de superfície da interface osso-implante, podendo encurtar o tempo da osseointegração.","Atua de forma similar a uma superfície tridimensional, estimulando a adesão por osteogênese endocondral.",É a única opção para acelerar e melhorar o embricamento do osso em poros da superfície do implante.,Objetivo Geral 2; Objetivo específico 4; C. Texturização de superfície; e.) Forma de texturização.
,,,d - Superfície usinada,Assinale a alternativa que corresponde ao método pioneiro de texturização da superfície de implantes dentários.,Usinada,Plasma pray de titâneo,Jateamento associado ao ataque ácido,Anodização,não se aplica
,,,e - Forma de texturização,"Em relação aos implantes com superfície jateada, assinale a alternativa correta.",O jateamento pode deixar partículas residuais (íons do alumínio) na superfície do implante que pode prejudicar a formação óssea.,"Agentes, como óxido de alumínio, são utilizados para diminuir a variabilidade na aparência da superfície do implante.","O jateamento é capaz de permitir a adesão, proliferação e diferenciação dos osteoblastos e fibroblastos com muita previsibilidade.",O óxido de alumínio é o agente de eleição no processo de jateamento de superfície de implantes dentais.,Objetivo Geral 2; Objetivo específico 4; C. Texturização de superfície; c.) Métodos de texturização
,5 - Produzir o guia cirúrgico,A - Importância,a - Objetivo,"O planejamento reverso permite que a posição dos implantes seja norteada pela posição protética final, evitando problemas biológicos, mecânicos e estéticos. Diante dessa informação, assinale a alternativa correta:","O planejamento reverso permite a confecção do guia cirúrgico, que será utilizado principalmente para orientar o local da osteotomia no sentido mesio-distal e vestíbulo-lingual.","O planejamento reverso permite a confecção do guia cirúrgico, que será utilizado apenas para orientar o local da osteotomia no sentido mesio-distal.","O implante deve ser instalado onde há tecido ósseo, evitando maior desconforto cirúrgico ao paciente.","A instalação de um implante unitário dispensa o uso de guia, pois há os dentes remanescentes como referência.",Secundário: Objetivo Geral 2; Objetivo específico 1; 5. Enceramento diagnóstico e Guia Cirúrgico; B.) Guia cirúrgico. Terciário: Objetivo Geral 2
,,,b - Confecção do guia cirúrgico,"O guia cirúrgico simula a localização ideal dos implantes a partir do enceramento diagnóstico e deve preencher alguns requisitos. Dentre as alternativas abaixo, qual requisito não deve estar presente no guia cirúrgico?",Volumoso,Rígido e estável,Transparente,Estar estendido sobre osso desdentado,Objetivo Geral 2; Objetivo específico 1; 5. Enceramento diagnóstico e Guia Cirúrgico; B.) Guia cirúrgico.
,6 - Instalar o implante,A - Pré-operatório,a - Terapêutica medicamentosa,"O American College of Surgeons (Committee on Control of Surgical Wound Infections) classificou os procedimentos cirúrgicos de acordo com níveis de contaminação e taxas de infecção, aconselhando o uso dos antibióticos profiláticos. A cirurgia de implante dentário está em qual categoria? Assinale a alternativa correta.","Limpa-contaminada, mostrando ter uma taxa de infecção de 10% a 15%.","Limpa, assim como cirurgia sem inflamação aguda.","Contaminado, pois há inflamação, mostrando uma taxa de infecção de 50%.","Infectada, havendo uma taxa de infecção de 30%",não se aplica
,,,b - Cuidados gerais,"A endocardite bacteriana é uma infecção das válvulas cardíacas ou da superfície endotelial do coração, sendo os procedimentos odontológicos que causam bacteremia sua principal causa. Dessa forma, cabe ao implantodontista identificar o paciente de risco e prescrever antibióticos profiláticos. Dentre as condições abaixo, qual alternativa não é recomendada a profilaxia antibiótica?",Prolapso da válvula mitral sem regurgitação,Valvas cardíacas artificiais,Doença cardíaca congênita cianótica,Defeitos cardíacos congênitos reparados com material protético,Objetivo Geral 2; Objetivo específico 2; 1. Condições sistêmicas.
,,,a - Equipamento de Próteção Individual (EPI),"Durante a cirurgia de instalação de implante dentário, qual equipamento de proteção individual que o cirurgião-dentista utiliza e não é considerado descartável.",Óculos de proteção,Gorro,Máscara,Luva,não se aplica
,,,b - Processamento dos instrumentais,"Em relação à biossegurança, assinale a alternativa incorreta.",Os instrumentais semicríticos são aqueles que perfuram o tecido mole.,"Os produtos para higienização das mãos dos profissionais de saúde contêm níveis baixos ou médios de agentes antimicrobianos, visando minimizar a quantidade de microrganismos transitórios nas mãos e auxiliar na redução do número de bactérias residentes, por meio da atividade química bactericida.",A esterilização é considerado o maior nível de inativação microbiana que pode ser alcançado.,"A desinfecção é destinada a eliminar microrganismos com potencial patogênico, mas não necessariamente endósporos bacterianos.",não se aplica
,,C - Instrumentais e kit cirúrgico,a - Brocas e chaves do kit cirúrgico,Para a instalação de cicatrizador em implante Cone Morse é indicado a utilização de qual chave digital? Assinale a alternativa correta.,"1,2 mm",0.9 mm,1.6 mm,quadrada,não se aplica
,,,b - Enxoval cirúrgico,"Embasado nos conhecimentos sobre os dispositivos e componentes utilizados em Implantodontia, pode-se afirmar que: I - O cicatrizador é normalmente utilizado em cirurgias onde está indicado o sepultamento do implante. II - O “cover screw” é normalmente utilizado em situações onde se deseja facilitar o acesso à plataforma do implante, sem necessidade de outra abertura cirúrgica. III - O pilar ou “abutment” pode ser torquedo no mesmo dia da instalação do implante em situação de carga imediata IV - A reabilitação protética pode ser cimentada ou parafusada. Estão corretas, apenas, a(s) afirmativa(s):",III e IV,"I, II e IV",I e IV,"I, II, III e IV",não se aplica
,,D - Anestesia,a - Anestesia local,"Para intervenções cirúrgicas, indispensável a realização de anestesia local e a correta seleção do anestésico para determinado paciente. Assinale a alternativa correta.",Paciente com doença cardiovascular considerado ASA I pode utilizar anestésico local com adrenalina a 1:100.000.,"Paciente que relata alergia ao bissulfito não podem fazer uso de anestésicos locais que contenha vasoconstritor, sendo indicado anestesia geral.",Paciente diagnosticado com hipertireoidismo ASA II só pode utilizar prilocaína a 4%.,Paciente diagnosticado com metemoglobinemia idiopática deve fazer uso de prilocaína a 3%.,Secundário: Objetivo Geral 2; Objetivo específico 2; 1. Condições sistêmicas. Terciário: Objetivo Geral 2; Objetivo específico 1; 1. Exames gerais; A.) Anamnese.
,,E - Técnicas de exodontia (quando necessário),a - Exodontia convencional,"Paciente do gênero masculino, 37 anos, relata dor ao exercer força mastigatória no dente 46, o qual apresenta uma extensa restauração em amálgama e raízes longas e divergentes. Foi removida a referida restauração e confirmada a presença de fratura radicular, sendo indicada a extração. Assinale a alternativa correta quanto à conduta a ser realizada.",Odontossecção,Ostectomia parcial,Ostectomia total,Extrator,não se aplica
,,,b - Exodontia atraumática (periótomo),Como devem ser os movimentos durante a luxação com o auxílio de um periótomo? Assinale a alternativa correta.,Movimentos de rotação nos diedros,Movimentos de alavanca nas interproximais do dente a ser extraido.,Movimento ao redor de todas as faces do dente a ser extraido.,Movimentos de rotação na lingual.,não se aplica
,,,c - Exodontia atraumática (extratores),"Em relação à preservação alveolar, assinale a alternativa correta:",O uso de periótomo e extratores durante a exodontia diminuem a chance de perda das paredes ósseas.,"Os biomateriais ósseos de reabsorção lenta dependem, necessariamente, da instalação de implante para atingirem seus resultados.","Em região anterior, caso haja a fratura da tábua vestibular ao terminar a exodontia, o cirurgião-dentista deve realizar suturas interrompidas e aguardar 3 meses.","Os extratores entraram recentemente no mercado e são uma excelente alternativa para realizar exodontia atraumática, pois não há limitações para o seu uso.",não se aplica
,,F - Acesso cirúrgico,a - Incisão,Assinale a alternativa que corresponde ao tipo de incisão realizada na técnica para aumento de coroa clínica sem osteotomia da figura. (inserir figura 6 do arquivo em anexo),incisão em bisel invertido,incisão na crista vestibular,Incisão retilínea na vestibular,Incisão sulcular,não se aplica
,,,b - Descolamento,Assinale a alternativa que correspoden ao nome do instrumento cirúrgico representado na imagem. (inserir figura 7 do arquivo em anexo),Descolador de Molt,Espátula nº 7,Descolador Seldin,Descolador Freer,não se aplica
,,,c - Retalho de espessura total,Assinale a alternativa que corresponde ao tipo de retalho. (inserir figura 6 do arquivo em,Retalho de espessura total,Retalho dividido,Retalho parcial,Retalho combinado,não se aplica
,,,d - Retalho de espessura parcial,Qual ao tipo de retalho realizado na técnica de aumento de rebordo em espessura e altura com enxerto misto? Assinale a alternativa correta.,Retalho de espessura parcial,Retalho de espessura total,Retalho combinado,Não há nenhum retalho,não se aplica
,,G - Técnica de instalação,a - Osteotomia,"O paciente D.E.A, 47 anos, considerado ASA I, relatou na anamnese que gostaria de reabilitar o elemento 45 com implante, o qual foi perdido devido à fratura do dente enquanto comia pipoca há aproximadamente 4 meses. Os demais dentes estão hígidos e saudáveis. Para instalação de um implante de plataforma regular (3,75mm), qual deve ser o espaço protético mínimo no sentido mesio-distal?","6,75mm","9,37 mm","5,25 mm","8,25",não se aplica
,,H - Técnica de reconstrução ou preservação tecidual,a - Biomateriais: membrana,"Frente a fenestração da tábua vestibular, assinale a alternativa que corresponde a ideal conduta do cirurgião-dentista.",Enxertar com osso particulado e posicionar membrana reabsorvível.,Abortar a cirurgia e realizar enxertia com bloco ósseo de origem alógena.,Não há o que fazer além de esperar a remodelação óssea.,Deixar o titânio exposto nesta localização.,Objetivo Geral 2; Objetivo específico 6; H. Técnica de reconstrução ou preservação tecidual; a.) Biomateriais; enxerto ósseo.
,,,b - Biomateriais: enxertos ósseos,"Devido à perda de espessura óssea, não é possível situar os implantes em posição ideal, sendo imprescindível a reconstrução óssea alveolar. Em relação a origem dos enxertos ósseos, podemos afirmar que:","O enxerto ósseo xenógeno é obtido de espécies diferentes do receptor, sendo mais comumente obtidos de bovinos e, eventualmente, de suínos ou equinos.",O enxerto ósseo aloplástico diferencia-se do enxerto ósseo autólogo por não permitir que o crescimento do osso ocorra a partir de células viáveis transferidas para dentro do enxerto.,O enxerto ósseo autógeno é considerado o padrão ouro devido a sua capacidade de conduzir e induzir os osteoclastos a sintetizarem matriz orgânica óssea a partir da ossificação endocondral.,O aloenxerto é escasso em razão ao tipo de processamento: congelado ou desidratação e desmineralização.,não se aplica
,,,c - Hemoderivados,"Com relação ao uso de hemoderivados em cirurgias relacionadas à Implantodontia, assinale a alternativa correta:","O PRP e o PRF resultam em aceleramento da cicatrização dos tecidos moles, com comprovação científica","O PRP e o PRF repercutem em maiores níveis de formação óssea em aumentos ósseos horizontais, com comprovação científica","O PRP e o PRF sempre culminam em maiores níveis de formação óssea em aumentos ósseos verticais, com comprovação científica","O PRP e o PRF resultam em uma diminuição do tempo de osseointegração quando utilizados no ato da instalação do implante, , com comprovação científica",não se aplica
,,,d - Técnicas: preservação alveolar (alvéolo fresco),"Após a extração de um dente anterior, ocorre a perda volumétrica expressiva de qual tábua óssea? Assinale a alternativa correta.",Vestibular,Lingual,Palatina,Interproximal,não se aplica
,,,e - Técnicas: manejo dos tecidos moles (enxerto gengival livre),A técnica de enxerto gengival livre é indicado em qual situação? Assinale a alternativa correta.,Aumento da faixa de gengiva ceratinizada,Aumento da espessura do rebordo alveolar,Recobrimento radicular,Aumento da faixa de mucosa alveolar,não se aplica
,,,f - Técnicas: manejo dos tecidos moles (enxerto de tecido conjuntivo),"Em relação aos tipos de enxertos de tecido mole, qual a alternativa correta?",O recobrimento radicular pode ser realizado pelo enxerto de tecido conjuntivo e pela matriz dérmica acelular ou matriz colágena.,Os enxertos de tecido mole são exclusivamente autógenos.,Os enxertos de tecido mole são exclusivamente autógenos ou sintéticos.,O enxerto gengival livre é indicado nos casos de recobrimento radicular e aumento da faixa de gengiva queratinizada.,não se aplica
,,,g - Técnicas: manejo dos tecidos moles (enxerto misto),"Nas duas últimas décadas, há uma valorização da estética vermelha, o que exige uma maior destreza do cirurgião-dentista em relação ao manejo de tecidos moles. Assinale a alternativa correta:","Caso haja necessidade de promover ganho tecidual no rebordo concomitantemente em altura e espessura, o enxerto misto é a melhor opção.","A manipulação tecidual é exclusivamente estética, não havendo qualquer repercussão funcional.",A necessidade aumento e/ou manutenção das características dos tecidos moles requer o uso de enxertos de tecidos moles que contenha apenas a porção epitelial.,"Caso haja necessidade de uma maior nível de ganho de gengiva queratinizada, o cirurgião-dentista deve recair sobre o enxerto gengival livre, que permite a cicatrização da região doadora por primeira intenção.",não se aplica
,,,h - Técnicas: aumento de coroa clínica,"Paciente jovem, 21 anos, tem como queixa principal as coroas dos dentes curtas e, quando sorri, mostra toda a papila interdental e mais de 2 mm da gengiva acima da margem gengival livre. Foi confirmada a ausência de harmonia entre altura e largura da coroa com auxílio da régua de Chu e a distância de 3mm entre a junção amelocementária e a crista óssea. Assinale a alternativa correta:",O que define a necessidade de realização da cirurgia de aumento de coroa clínica com ou sem osteotomia é a distância entre a junção amelocementária e a crista óssea,Não é possível prever a exposição radicular pós-operatória.,Este caso clínico certamente demanda a confecção de osteotomias.,Os “colarinhos” gengivais são necessariamente removidos com cureta periodontal na altura da junção amelocementária e suturas do tipo colchoeiro vertical interna são realizadas para fixar o tecido mole na posição desejada.,não se aplica
,,,I - Técnicas: reabertura de implante,"Paciente procura sua clínica relatando que realizou a cirurgia de instalação de implante há 6 meses e que não consegue encontrar o cirurgião-dentista responsável pela cirurgia, sendo informado que ele mudou de país. Radiograficamente é possível observar que foi instalado um implante cônico  com um cover screw na região do 46. Clinicamente verifica-se que o implante foi sepultado pelos tecidos moles gengivais e que é possível ver um sombreamento acinzentado por transparência na gengiva. Assinale a alternativa correta:","Deve ser realizado a reabertura do implante com manejo da papila interimplantar, visando facilitar a higienização.",Pode-se afirmar que o outro profissional realizou a instalação de implante em alvéolo fresco.,"Com bisturi circular, perfurar o tecido mole e trocar o cover screw pelo cicatrizador, com o objetivo de preparar o tecido gengival para a moldagem.",A reabertura com manejo de tecido mole exige a realização de incisão parcial para preservar o arcabouço gengival já cicatrizado.,não se aplica
,,,j - Reconstrução óssea aposicional do rebordo (horizontal e/ou vertical),"Após exodontia do elemento 14, observou-se a perda da tábua óssea vestibular. Diante dessa situação, qual a alternativa correta:","Se houver estabilidade primária, o cirurgião-dentista deve instalar o implante e adaptar um cover screw ao implante e, em seguida, rebater um retalho de espessura total até obter a visualização de 3 mm de estrutura óssea na área vestibular para inserção de membrana reabsorvível e inserir o biomaterial de enxertia óssea.","Como houve perda de uma das paredes ósseas, o cirurgião-dentista deve preencher o alvéolo com biomaterial de enxertia óssea e inserir uma membrana reabsorvível, independente de haver ou não estabilidade primária. Após 9 meses, é possível instalar o implante.","Se houver estabilidade primária, o cirurgião-dentista deve instalar e adaptar um cover screw ao implante e, em seguida, inserir apenas o biomaterial de enxertia óssea, minimizando a alteração dimensional do alvéolo.","O cirurgião-dentista deve instalar o implante nas paredes remanescentes para atingir a estabilidade primárias e inserir membrana reabsorvível, mantendo o volume do alvéolo e proporcionando o melhor custo-benefício ao paciente.",Objetivo Geral 1; Objetivo específico 1; C.) Alterações ósseas
,,,Técnicas: levantamento do seio maxilar,A reconstrução requerida para enxerto ósseo utilizado em cirurgia para levantamento do assoalho do seio maxilar é considerada:,Inlay,Onlay,Aposicional,Infra crestal,Secundário: Objetivo Geral 1; Objetivo específico 1; C.) Alterações ósseas; Terciário: Objetivo Geral 2; Objetivo específico 6; H. Técnica de reconstrução ou preservação tecidual; Enxertos ósseos.
,,,Técnicas: regeneração óssea guiada,"Paciente M.L.P., 48 anos de idade, gênero feminino, está insatisfeita com a prótese unitária sobre dente em metalocerâmica confeccionada no elemento 21, cimentada há 10 anos. Clinicamente foi possível observar a desadaptação do término cervical, provavelmente responsável pela infiltração e cárie recidivante. A radiografia periapical sugeriu a presença de lesão apical e clinicamente foi detectada presença de bolsa periodontal profundo e estreita no centro da face vestibular. Diante o exposto, assinale a alternativa correta.",Realizar exodontia atraumática com auxílio de periótomo e instalação de implante com regeneração óssea guiada.,"A presença de lesão apical inviabiliza a instalação de implante dentário, sendo indicada a confecção de prótese fixa sobre dente.",O ideal é realizar a exodontia com auxílio de extrator e instalação imediata do implante para evitar maior perda óssea.,"Realizar ostectomia parcial para preservar as paredes da lesão apical e, após curetagem e irrigação com tetraciclina, enxertar com osso autógeno e aguardar 6 meses para instalar o implante. Indispensável prótese provisória adesiva para proporcionar estética.",Secundário: Objetivo Geral 2; Objetivo específico 6; E.) Técnicas de exodontia; b.) Exodontia atraumática. Terciário: Objetivo Geral 1; Objetivo específico 2; D.) alterações das estruturas de suporte dos elementos dentários; b.) Características radiográficas.Quartenário: Objetivo Geral 2; Objetivo específico 6; H. Técnica de reconstrução ou preservação tecidual; c.) Técnicas.
,,I - Suturas,a - Tipos de sutura,Assinale a alternativa correta.,A sutura suspensória é uma boa opção para coaptação das bordas da área palatina doadora na remoção de tecido conjuntivo.,A cirurgia de rebordo com blocos ósseos deve ser sempre finalizada com sutura colchoeiro horizontal interna associada com suspensória.,A reabertura de implantes é concluída com sutura interrompida simples em todos os casos.,Em 3 dias é possível remover a sutura quando há apenas envolvimento de tecido mole.,Objetivo Geral 2; Objetivo específico 6; I. Suturas; b.) remoção de sutura (quando realizar).
,,,b - remoção de sutura,Assinale a alternativa que corresponde ao nome da sutura. (inserir figura 9 do arquivo em anexo),Sutura suspensória,Sutura de colchoiero contínua,Sutura cruzada,Sutura interrompida em forma de oito,não se aplica
,,J - Fotografias intrabucais transoperatórias,a - Tipos de fotografia,"A fotografia clínica permite analisar a evolução do tratamento e as características estéticas do paciente, além de fazer parte do respaldo jurídico. Diante o exposto, assinale a alternativa correta.","As fotografias intrabucais frontal, lateral e oclusal são essenciais no momento pré-cirúrgico.","Durante a coleta de dados, suficiente a obtenção de duas fotografias extrabucais: frontal e lateral.","As fotografias intrabucais transoperatória frontal e lateral devem ser obtidas após rebatimento do retalho, instalação do implante e/ou enxerto e após sutura.","Durante a intervenção cirurgia, apenas a fotografia oclusal do momento da instalação do implante dentário é suficiente.",Secundário: Objetivo Geral 2; Objetivo específico 1; 2. Fotografia clínica; A.) Objetivo.; Terciário: Objetivo Geral 2; Objetivo específico 5; J. Fotografias intrabucais transoperatória; b.) Momento para fotografar.
,,,b - Momento para fotografar,"A fotografia clínica permite analisar a evolução do tratamento e as características estéticas do paciente, além de fazer parte do respaldo jurídico. Diante o exposto, assinale a alternativa correta.","As fotografias intrabucais frontal, lateral e oclusal são essenciais no momento pré-cirúrgico.","Durante a coleta de dados, suficiente a obtenção de duas fotografias extrabucais: frontal e lateral.","As fotografias intrabucais transoperatória frontal e lateral devem ser obtidas após rebatimento do retalho, instalação do implante e/ou enxerto e após sutura.","Durante a intervenção cirurgia, apenas a fotografia oclusal do momento da instalação do implante dentário é suficiente.",Secundário: Objetivo Geral 2; Objetivo específico 1; 2. Fotografia clínica; A.) Objetivo. Terciário: Objetivo Objetivo Geral 2; específico 1; 2. Fotografia clínica; B.) Fotografias intrabucais pré-operatória. Quartenário: Objetivo Geral 2; Objetivo específico 5; J. Fotografias intrabucais transoperatória; a.) Tipos de fotografia; Quinternário: Objetivo Geral 2; Objetivo específico 5; J. Fotografias intrabucais transoperatória; b.) Momento para fotografar
,,K - Complicações trans e pós-cirúrgicas,,O implantodontista está sujeito a enfrentar eventuais complicações durante e/ou após a cirúrgica. Assinale a alternativa que indica uma situação que pode ser resolvida com o uso de analgésico.,Hiperestesia,Hemorragia,Falta de estabilidade primária,Edema,não se aplica
,,L - Orientação pós-operatória,a - Terapêutica medicamentosa,"A manipulação dos tecidos moles e duros durante os procedimentos de instalação de implantes e de enxertos ósseos predispõe o paciente à dor pós-operatória. Visando minimizar o conforto pós-operatório, qual a terapia recomendada para controle da dor?","Dipirona sódica 500 mg, sendo que o primeiro comprimido deve ser administrado ao final da cirurgia e os demais a cada 4 horas por 02 dias.","Ibuprofeno 300mg, sendo administrada dose única 1 hora antes da cirurgia.","Ácido acetilsalicílico 500mg, sendo que a primeira dose deve ser administrada 1 hora antes da cirurgia e as demais a cada 4 horas por 02 dias.","Acetamínofeno 500mg, sendo o primeiro comprimido administrado ao final da cirurgia e os demais a cada 3 horas por 02 dias.",não se aplica
,,,b - Cuidados gerais,Assinale a alternativa incorreta.,Evitar o uso de enxaguatório bucal,Orientar o paciente quanto a importância de obedecer os medicamentos e dosagens descritos na terapêutica pós-cirúrgica.,Acompanhar semanalmente nas primeiras duas semanas e posteriormente acompanhar mensalmente até a reabilitação.,Evitar alimentação muito dura nos 05 primeiros dias,não se aplica
3 - Manter os implantes em condições de saúde,1 - Manutenção das próteses implantossuportadas,A - Orientação de higienização oral diária,,"Em relação à manutenção de prótese implantossuportada, assinale a alternativa correta.",Orientar o paciente quanto a potência e o direcionamento do fluxo de irrigação do irrigador oral.,"A remoção da placa subgengival com escova dental associada ao uso de fio dental, reduz a quantidade e a composição da microbiota subgengival.",O cirurgião-dentista deve usar raspadores ultrassônicos e sônicos metálicos e instrumento com pontas de aço inoxidável.,"Após remoção do cálculo salivar, o polimento com taça de borracha ou escova rotatória macia e pasta profilática de granulação fina é contraindicado.",não se aplica
,,B - Retornos periódicos,,"Em relação a proservação de implante unitário, assinale a alternativa correta.",Acompanhamento semanal nas primeiras duas semanas e posteriormente acompanhamento mensal até a reabilitação.,"Acompanhar após 7 dias e, se não houver nenhuma intercorrência, o paciente tem alta até a data da reabilitação.","Acompanhamento após o primeiro mês, seguido de acompanhamento trimestral.",Acompanhamento diário até a remoção.,não se aplica
,2 - Sucesso e insucesso na Implantodontia,A - Sucesso dos implantes,,"Dentre as alternativas abaixo, qual condição clínica não caracteriza a saúde comprometida do implante osseointegrado.",Sem história de exsudato,Dor à função,Perda à sondagem > 7mm,Mobilidade grau 1,Objetivo Geral 3; B. Sucesso e insucesso na Implantodontia; b.) Insucesso dos implantes.
,,B - Insucesso dos implantes,,A falha na obtenção da osseointegração detectada no momento da conexão do pilar pode ser identificada no procedimento de reabertura. Assinale a alternativa correta.,Perda óssea horizontal inferior a 50% do corpo do implante pode ser solucionada com a redução da espessura do tecido mole para diminuir a profundidade de sondagem.,Perda óssea vertical ao redor do implante menor que 3 mm em mais de 25% da circunferência e menos da metade da altura do implante indica a necessidade de remoção do implante.,"Se a perda óssea vertical resultar em exposição das roscas do implante, antes de realizar a enxertia, é indispensável a aplicação de  plasma spray na superfície do implante para maximizar a osseointegração.",Perda óssea horizontal correspondente a mais da metade da altura do corpo do implante pode ser tratada com o posicionamento do tecido mole apicalmente.,não se aplica
,3 - Tratamento de sequelas periimplantares,,,"Paciente com 38 anos de idade, gênero feminino, foi submetida a cirurgia para instalação de implante dentário na região do elemento 12. A paciente, na anamnese, relatou fumar 10 cigarros por dia. Após a finalização do tratamento, a paciente não voltou às consultas de manutenção previamente orientadas. Decorrido 3 anos, paciente retorna alegando que o implante está com movimentação, o que foi constatado no exame clínico, além de apresentar cálculo subgengival na região dos dentes inferiores anteriores. Radiograficamente, foi constatada a perda óssea até a região apical do implante. Assinale a alternativa que justifique a melhor conduta do profissional.",Remoção do implante e realizar procedimentos de enxertia para substituir o osso perdido.,"Realizar um retalho de espessura total, curetar o tecido de granulação, descontaminar o implante dentário com ácido cítrico por 30 segundos, enxertar com osso aloplástico e membrana reabsorvível e aguardar 12 semanas.","Remover o implante e planejar reabilitação sem implante, pois novo implante certamente não terá bom prognóstico.","Realizar um retalho de espessura total, descontaminar a superfície de hidroxiapatita presente sobre o implante dentário com tetraciclina por 30 segundos, enxertar com osso autógeno e membrana reabsorvível e aguardar 12 semanas.",não se aplica
