"Question","Option.1","Option.2","Option.3","Option.4","Option.5","Answer"
"12 + 14 = ?","22","26","27","30","31","26"
"16 + 10 = ?","22","23","25","26","31","26"
"17 + 20 = ?","33","37","39","40","42","37"
"12 + 14 = ?","21","23","24","26","29","26"
"15 + 12 = ?","22","26","27","29","31","27"
"19 + 17 = ?","31","35","36","37","39","36"
"18 + 17 = ?","30","31","33","35","38","35"
"13 + 15 = ?","25","28","30","31","33","28"
"17 + 12 = ?","24","28","29","31","33","29"
"13 + 13 = ?","23","25","26","28","30","26"
"14 + 17 = ?","27","28","30","31","33","31"
"12 + 11 = ?","18","20","22","23","24","23"
"15 + 14 = ?","26","29","30","33","34","29"
"16 + 12 = ?","24","27","28","29","31","28"
"13 + 14 = ?","22","23","24","27","28","27"
"20 + 15 = ?","33","34","35","37","38","35"
"12 + 16 = ?","23","27","28","29","33","28"
"16 + 15 = ?","27","31","32","35","36","31"
"18 + 14 = ?","28","30","32","34","36","32"
"13 + 14 = ?","22","26","27","28","31","27"
"13 + 19 = ?","27","29","31","32","36","32"
"17 + 13 = ?","27","30","32","33","35","30"
"17 + 18 = ?","31","35","36","37","39","35"
"19 + 12 = ?","29","30","31","34","36","31"
"11 + 20 = ?","26","27","28","31","32","31"
"12 + 12 = ?","20","21","22","24","26","24"
"12 + 17 = ?","28","29","31","32","34","29"
"17 + 20 = ?","33","35","37","39","42","37"
"20 + 15 = ?","30","33","35","36","40","35"
"14 + 16 = ?","27","28","30","32","35","30"
"13 + 16 = ?","25","26","27","29","33","29"
"15 + 20 = ?","32","33","34","35","39","35"
"12 + 15 = ?","23","25","26","27","31","27"
"17 + 11 = ?","24","27","28","30","33","28"
"14 + 11 = ?","21","22","25","28","30","25"
"10 + 15 = ?","20","21","23","25","28","25"
"11 + 12 = ?","19","20","21","23","26","23"
"11 + 11 = ?","17","19","22","26","27","22"
"14 + 20 = ?","29","31","34","37","38","34"
"19 + 17 = ?","31","33","35","36","37","36"
"17 + 13 = ?","29","30","32","34","35","30"
"12 + 18 = ?","25","28","30","31","35","30"
"14 + 11 = ?","21","23","25","26","28","25"
"17 + 12 = ?","25","26","29","30","32","29"
"18 + 14 = ?","27","29","32","33","37","32"
"11 + 13 = ?","19","21","23","24","28","24"
"17 + 15 = ?","28","31","32","33","34","32"
"13 + 19 = ?","28","30","31","32","35","32"
"12 + 12 = ?","19","24","26","28","29","24"
"20 + 15 = ?","32","33","35","36","37","35"
"17 + 12 = ?","26","29","32","33","34","29"
"10 + 20 = ?","28","29","30","33","35","30"
"15 + 13 = ?","26","28","31","32","33","28"
"13 + 14 = ?","27","28","29","30","31","27"
"14 + 15 = ?","24","25","29","30","32","29"
"10 + 13 = ?","20","23","24","26","28","23"
"11 + 10 = ?","16","18","19","21","26","21"
"16 + 20 = ?","31","34","36","38","40","36"
"12 + 20 = ?","28","30","31","32","35","32"
"17 + 14 = ?","27","28","31","33","35","31"
"18 + 11 = ?","25","27","28","29","34","29"
"19 + 11 = ?","25","26","30","33","34","30"
"14 + 15 = ?","24","27","28","29","33","29"
"15 + 20 = ?","33","34","35","36","38","35"
"10 + 18 = ?","24","25","28","29","31","28"
"19 + 17 = ?","32","34","35","36","41","36"
"20 + 20 = ?","35","36","37","40","44","40"
"14 + 13 = ?","23","25","27","29","30","27"
"12 + 11 = ?","21","23","24","25","28","23"
"10 + 19 = ?","24","27","29","32","34","29"
"17 + 11 = ?","24","26","28","30","31","28"
"13 + 20 = ?","28","29","31","32","33","33"
"17 + 14 = ?","28","29","31","33","36","31"
"16 + 14 = ?","25","28","30","33","34","30"
"18 + 17 = ?","32","35","36","38","39","35"
"18 + 20 = ?","34","35","38","41","42","38"
"20 + 11 = ?","29","31","34","35","36","31"
"11 + 13 = ?","19","20","22","24","29","24"
"13 + 16 = ?","26","27","29","31","33","29"
"13 + 19 = ?","27","29","31","32","37","32"
"19 + 13 = ?","28","32","34","36","37","32"
"17 + 20 = ?","34","35","37","40","41","37"
"12 + 16 = ?","23","25","28","31","33","28"
"13 + 16 = ?","25","28","29","31","34","29"
"19 + 15 = ?","29","30","31","34","35","34"
"18 + 18 = ?","32","33","34","35","36","36"
"10 + 20 = ?","25","27","29","30","34","30"
"18 + 11 = ?","28","29","32","33","34","29"
"17 + 10 = ?","26","27","29","31","32","27"
"11 + 18 = ?","24","26","27","28","29","29"
"10 + 16 = ?","26","27","28","29","31","26"
"14 + 10 = ?","19","24","26","27","28","24"
"13 + 19 = ?","27","29","30","32","34","32"
"12 + 14 = ?","21","25","26","29","31","26"
"16 + 11 = ?","23","26","27","28","31","27"
"18 + 11 = ?","25","27","29","33","34","29"
"19 + 17 = ?","34","35","36","38","39","36"
"10 + 18 = ?","25","27","28","30","32","28"
"19 + 11 = ?","25","26","27","28","30","30"
"20 + 13 = ?","29","31","32","33","34","33"
"19 + 10 = ?","26","28","29","31","34","29"
"13 + 10 = ?","21","23","25","26","28","23"
"20 + 20 = ?","37","38","40","42","45","40"
"19 + 10 = ?","26","27","29","30","34","29"
"19 + 18 = ?","36","37","38","39","41","37"
"20 + 11 = ?","26","28","29","30","31","31"
"17 + 13 = ?","25","26","30","32","34","30"
"12 + 17 = ?","24","25","28","29","34","29"
"10 + 14 = ?","19","23","24","25","28","24"
"18 + 12 = ?","25","27","28","29","30","30"
"13 + 20 = ?","31","32","33","37","38","33"
"16 + 13 = ?","26","29","32","33","34","29"
"16 + 10 = ?","22","26","27","28","30","26"
"12 + 10 = ?","17","18","20","22","27","22"
"17 + 10 = ?","22","23","25","27","28","27"
"13 + 20 = ?","32","33","34","36","38","33"
"15 + 14 = ?","25","28","29","31","33","29"
"20 + 15 = ?","30","32","35","37","39","35"
"15 + 14 = ?","24","29","30","32","34","29"
"17 + 19 = ?","32","33","36","39","40","36"
"13 + 14 = ?","23","24","27","28","32","27"
"20 + 18 = ?","33","36","37","38","40","38"
"10 + 16 = ?","22","26","27","28","30","26"
"12 + 15 = ?","22","24","25","27","28","27"
"16 + 12 = ?","24","28","29","32","33","28"
"15 + 17 = ?","30","32","35","36","37","32"
"19 + 17 = ?","31","35","36","38","41","36"
"19 + 13 = ?","27","28","29","32","33","32"
"11 + 18 = ?","26","27","28","29","30","29"
"13 + 20 = ?","29","30","31","33","34","33"
"12 + 11 = ?","19","20","21","23","25","23"
"15 + 20 = ?","33","34","35","36","37","35"
"18 + 14 = ?","27","32","34","36","37","32"
"15 + 20 = ?","31","35","38","39","40","35"
"16 + 14 = ?","25","27","30","31","35","30"
"13 + 14 = ?","22","25","27","28","30","27"
"19 + 14 = ?","29","32","33","35","38","33"
"10 + 16 = ?","22","23","26","27","30","26"
"11 + 17 = ?","24","26","28","31","33","28"
"10 + 17 = ?","23","24","26","27","30","27"
"11 + 18 = ?","25","28","29","32","33","29"
"12 + 13 = ?","20","22","23","25","27","25"
"12 + 17 = ?","25","26","27","28","29","29"
"18 + 15 = ?","28","30","33","34","35","33"
"17 + 19 = ?","31","32","36","39","41","36"
"10 + 13 = ?","23","24","26","27","28","23"
"17 + 11 = ?","26","27","28","30","31","28"
"17 + 18 = ?","32","33","35","37","40","35"
"20 + 11 = ?","26","27","31","32","34","31"
"12 + 17 = ?","25","29","30","31","33","29"
"14 + 18 = ?","32","33","34","35","37","32"
"14 + 17 = ?","26","27","31","33","36","31"
"20 + 10 = ?","25","29","30","31","34","30"
"13 + 11 = ?","19","21","24","27","28","24"
"14 + 10 = ?","19","21","22","24","27","24"
"14 + 15 = ?","24","26","29","30","32","29"
"18 + 10 = ?","25","28","30","31","33","28"
"14 + 15 = ?","24","25","29","33","34","29"
"12 + 14 = ?","21","22","23","26","27","26"
"18 + 19 = ?","33","37","38","39","42","37"
"10 + 16 = ?","24","26","28","29","30","26"
"15 + 14 = ?","24","27","29","33","34","29"
"14 + 15 = ?","24","25","27","28","29","29"
"20 + 18 = ?","33","36","37","38","43","38"
"15 + 17 = ?","31","32","34","35","36","32"
"16 + 11 = ?","22","23","25","26","27","27"
"10 + 19 = ?","24","27","28","29","32","29"
"15 + 20 = ?","30","31","32","35","36","35"
"13 + 11 = ?","21","23","24","25","29","24"
"11 + 14 = ?","20","22","24","25","26","25"
"19 + 19 = ?","34","35","36","37","38","38"
"11 + 16 = ?","23","24","25","26","27","27"
"20 + 19 = ?","35","36","38","39","41","39"
"10 + 13 = ?","20","21","23","24","25","23"
"10 + 20 = ?","27","30","31","33","34","30"
"12 + 17 = ?","26","27","29","30","33","29"
"11 + 11 = ?","17","19","20","22","26","22"
"20 + 14 = ?","33","34","35","37","39","34"
"14 + 10 = ?","20","21","23","24","25","24"
"14 + 14 = ?","28","29","30","32","33","28"
"17 + 14 = ?","27","28","31","34","36","31"
"11 + 17 = ?","23","25","27","28","30","28"
"17 + 10 = ?","24","25","26","27","32","27"
"11 + 13 = ?","19","20","24","25","27","24"
"19 + 11 = ?","29","30","33","34","35","30"
"10 + 10 = ?","15","18","19","20","23","20"
"11 + 19 = ?","25","26","30","32","34","30"
"20 + 19 = ?","35","38","39","41","44","39"
"11 + 14 = ?","20","25","27","28","30","25"
"20 + 19 = ?","35","36","37","39","43","39"
"15 + 19 = ?","29","34","35","37","38","34"
"16 + 20 = ?","31","33","36","37","39","36"
"16 + 16 = ?","27","28","29","31","32","32"
"19 + 14 = ?","28","31","32","33","37","33"
"19 + 12 = ?","28","31","32","34","36","31"
"12 + 18 = ?","25","26","30","31","34","30"
"18 + 13 = ?","26","31","32","34","35","31"
"18 + 11 = ?","26","27","29","31","32","29"
"16 + 16 = ?","30","32","35","36","37","32"
"15 + 11 = ?","21","26","27","30","31","26"
